;Column1.1;Column1.2;Column1.2.1;Column1.2.2;Column1.2.3;Column1.3.1;Column1.3.2;Column1.3.3;Column1.4.1;Column1.4.2;Column1.4.22;Column1.4.3;;;;
Image ret;0.000844;0.844;stereoCalib;0.028118;28.118000;colorDetect;0.014001;14.001000;udp;9.6e-05;0.096;0.043059;;;;
Image ret;0.000801;0.801;stereoCalib;0.027849;27.849000;colorDetect;0.013989;13.989000;udp;0.000695;0.695;0.043334;;;;
Image ret;0.000839;0.839;stereoCalib;0.029502;29.502000;colorDetect;0.013706;13.706000;udp;0.00011;0.11;0.044157;;;;
Image ret;0.000845;0.845;stereoCalib;0.028208;28.208000;colorDetect;0.013424;13.424000;udp;0.000101;0.101;0.042578;;;;
Image ret;0.000897;0.897;stereoCalib;0.029983;29.983000;colorDetect;0.012445;12.445000;udp;0.000107;0.107;0.043432;;;;
Image ret;0.000854;0.854;stereoCalib;0.030656;30.656000;colorDetect;0.013496;13.496000;udp;9.1e-05;0.091;0.045097;;;;
Image ret;0.000795;0.795;stereoCalib;0.026592;26.592000;colorDetect;0.012492;12.492000;udp;0.000114;0.114;0.039993;;;;
Image ret;0.000829;0.829;stereoCalib;0.028276;28.276000;colorDetect;0.014963;14.963000;udp;9.1e-05;0.091;0.044159;;;;
Image ret;0.000935;0.935;stereoCalib;0.027063;27.063000;colorDetect;0.01339;13.390000;udp;9.2e-05;0.092;0.04148;;;;
Image ret;0.000814;0.814;stereoCalib;0.025456;25.456000;colorDetect;0.013514;13.514000;udp;9.7e-05;0.097;0.039881;;;;
Image ret;0.001228;1.228;stereoCalib;0.031359;31.359000;colorDetect;0.012448;12.448000;udp;0.000119;0.119;0.045154;;;;
Image ret;0.001147;1.147;stereoCalib;0.051372;51.372000;colorDetect;0.026142;26.142000;udp;0.000154;0.154;0.078815;;;;
Image ret;0.001393;1.393;stereoCalib;0.054466;54.466000;colorDetect;0.022098;22.098000;udp;9.4e-05;0.094;0.078051;;;;
Image ret;0.000805;0.805;stereoCalib;0.028857;28.857000;colorDetect;0.012493;12.493000;udp;0.0001;0.1;0.042255;;;;
Image ret;0.000849;0.849;stereoCalib;0.02914;29.140000;colorDetect;0.013907;13.907000;udp;9e-05;0.09;0.043986;;;;
Image ret;0.000961;0.961;stereoCalib;0.02812;28.120000;colorDetect;0.012685;12.685000;udp;0.000114;0.114;0.04188;;;;
Image ret;0.000859;0.859;stereoCalib;0.028666;28.666000;colorDetect;0.013044;13.044000;udp;0.000117;0.117;0.042686;;;;
Image ret;0.00091;0.91;stereoCalib;0.029399;29.399000;colorDetect;0.013143;13.143000;udp;0.000159;0.159;0.043611;;;;
Image ret;0.000859;0.859;stereoCalib;0.029848;29.848000;colorDetect;0.014073;14.073000;udp;0.000123;0.123;0.044903;;;;
Image ret;0.000828;0.828;stereoCalib;0.033649;33.649000;colorDetect;0.013463;13.463000;udp;9e-05;0.09;0.04803;;;;
Image ret;0.000921;0.921;stereoCalib;0.026129;26.129000;colorDetect;0.013451;13.451000;udp;9.3e-05;0.093;0.040594;;;;
Image ret;0.000878;0.878;stereoCalib;0.028959;28.959000;colorDetect;0.012515;12.515000;udp;0.000192;0.192;0.042544;;;;
Image ret;0.000821;0.821;stereoCalib;0.029255;29.255000;colorDetect;0.013994;13.994000;udp;0.000107;0.107;0.044177;;;;
Image ret;0.000891;0.891;stereoCalib;0.029482;29.482000;colorDetect;0.012654;12.654000;udp;0.000109;0.109;0.043136;;;;
Image ret;0.000955;0.955;stereoCalib;0.031062;31.062000;colorDetect;0.012977;12.977000;udp;9.2e-05;0.092;0.045086;;;;
Image ret;0.000844;0.844;stereoCalib;0.028153;28.153000;colorDetect;0.014926;14.926000;udp;0.000126;0.126;0.044049;;;;
Image ret;0.000815;0.815;stereoCalib;0.029374;29.374000;colorDetect;0.014277;14.277000;udp;0.000202;0.202;0.044668;;;;
Image ret;0.000796;0.796;stereoCalib;0.026786;26.786000;colorDetect;0.013999;13.999000;udp;0.000103;0.103;0.041684;;;;
Image ret;0.000815;0.815;stereoCalib;0.028212;28.212000;colorDetect;0.026598;26.598000;udp;0.000153;0.153;0.055778;;;;
Image ret;0.001453;1.453;stereoCalib;0.055062;55.062000;colorDetect;0.026671;26.671000;udp;0.000143;0.143;0.083329;;;;
Image ret;0.001;1;stereoCalib;0.028081;28.081000;colorDetect;0.013598;13.598000;udp;0.000119;0.119;0.042798;;;;
Image ret;0.000815;0.815;stereoCalib;0.029628;29.628000;colorDetect;0.013791;13.791000;udp;0.000106;0.106;0.04434;;;;
Image ret;0.00084;0.84;stereoCalib;0.028216;28.216000;colorDetect;0.013911;13.911000;udp;9.9e-05;0.099;0.043066;;;;
Image ret;0.000946;0.946;stereoCalib;0.029312;29.312000;colorDetect;0.013341;13.341000;udp;9.3e-05;0.093;0.043692;;;;
Image ret;0.000795;0.795;stereoCalib;0.028243;28.243000;colorDetect;0.012344;12.344000;udp;0.000104;0.104;0.041486;;;;
Image ret;0.000804;0.804;stereoCalib;0.028588;28.588000;colorDetect;0.013651;13.651000;udp;0.00014;0.14;0.043183;;;;
Image ret;0.00083;0.83;stereoCalib;0.029986;29.986000;colorDetect;0.014571;14.571000;udp;0.0001;0.1;0.045487;;;;
Image ret;0.000815;0.815;stereoCalib;0.028121;28.121000;colorDetect;0.013898;13.898000;udp;0.000104;0.104;0.042938;;;;
Image ret;0.000981;0.981;stereoCalib;0.029352;29.352000;colorDetect;0.01347;13.470000;udp;8.9e-05;0.089;0.043892;;;;
Image ret;0.000797;0.797;stereoCalib;0.028428;28.428000;colorDetect;0.012328;12.328000;udp;0.000111;0.111;0.041664;;;;
Image ret;0.001008;1.008;stereoCalib;0.029161;29.161000;colorDetect;0.012769;12.769000;udp;0.000163;0.163;0.043101;;;;
Image ret;0.000804;0.804;stereoCalib;0.029587;29.587000;colorDetect;0.015331;15.331000;udp;0.000117;0.117;0.045839;;;;
Image ret;0.000796;0.796;stereoCalib;0.026967;26.967000;colorDetect;0.013723;13.723000;udp;0.000106;0.106;0.041592;;;;
Image ret;0.00094;0.94;stereoCalib;0.030584;30.584000;colorDetect;0.014346;14.346000;udp;9.3e-05;0.093;0.045963;;;;
Image ret;0.000822;0.822;stereoCalib;0.028391;28.391000;colorDetect;0.013766;13.766000;udp;0.000102;0.102;0.043081;;;;
Image ret;0.000836;0.836;stereoCalib;0.028273;28.273000;colorDetect;0.013534;13.534000;udp;9e-05;0.09;0.042733;;;;
Image ret;0.000883;0.883;stereoCalib;0.027534;27.534000;colorDetect;0.012459;12.459000;udp;0.000106;0.106;0.040982;;;;
Image ret;0.000794;0.794;stereoCalib;0.028764;28.764000;colorDetect;0.013412;13.412000;udp;0.000151;0.151;0.043121;;;;
Image ret;0.001126;1.126;stereoCalib;0.054102;54.102000;colorDetect;0.027678;27.678000;udp;0.000141;0.141;0.083047;;;;
Image ret;0.001245;1.245;stereoCalib;0.055736;55.736000;colorDetect;0.013767;13.767000;udp;9.6e-05;0.096;0.070844;;;;
Image ret;0.000832;0.832;stereoCalib;0.02881;28.810000;colorDetect;0.012471;12.471000;udp;9.9e-05;0.099;0.042212;;;;
Image ret;0.000818;0.818;stereoCalib;0.028696;28.696000;colorDetect;0.013442;13.442000;udp;0.000101;0.101;0.043057;;;;
Image ret;0.000967;0.967;stereoCalib;0.029849;29.849000;colorDetect;0.013521;13.521000;udp;9.7e-05;0.097;0.044434;;;;
Image ret;0.000793;0.793;stereoCalib;0.028117;28.117000;colorDetect;0.01238;12.380000;udp;0.00011;0.11;0.0414;;;;
Image ret;0.000792;0.792;stereoCalib;0.029443;29.443000;colorDetect;0.01248;12.480000;udp;0.000131;0.131;0.042846;;;;
Image ret;0.000825;0.825;stereoCalib;0.02993;29.930000;colorDetect;0.012833;12.833000;udp;0.000131;0.131;0.043719;;;;
Image ret;0.000845;0.845;stereoCalib;0.027529;27.529000;colorDetect;0.01482;14.820000;udp;9.4e-05;0.094;0.043288;;;;
Image ret;0.000978;0.978;stereoCalib;0.027203;27.203000;colorDetect;0.014696;14.696000;udp;9.1e-05;0.091;0.042968;;;;
Image ret;0.0008;0.8;stereoCalib;0.027364;27.364000;colorDetect;0.012405;12.405000;udp;0.00011;0.11;0.040679;;;;
Image ret;0.000794;0.794;stereoCalib;0.029045;29.045000;colorDetect;0.013775;13.775000;udp;9.5e-05;0.095;0.043709;;;;
Image ret;0.00088;0.88;stereoCalib;0.028033;28.033000;colorDetect;0.012663;12.663000;udp;0.000115;0.115;0.041691;;;;
Image ret;0.001008;1.008;stereoCalib;0.030094;30.094000;colorDetect;0.013631;13.631000;udp;0.000119;0.119;0.044852;;;;
Image ret;0.000868;0.868;stereoCalib;0.02801;28.010000;colorDetect;0.013989;13.989000;udp;0.000102;0.102;0.042969;;;;
Image ret;0.000802;0.802;stereoCalib;0.028188;28.188000;colorDetect;0.013662;13.662000;udp;9.2e-05;0.092;0.042744;;;;
Image ret;0.000954;0.954;stereoCalib;0.030854;30.854000;colorDetect;0.013555;13.555000;udp;0.000122;0.122;0.045485;;;;
Image ret;0.000823;0.823;stereoCalib;0.030019;30.019000;colorDetect;0.012814;12.814000;udp;0.000102;0.102;0.043758;;;;
Image ret;0.000852;0.852;stereoCalib;0.030594;30.594000;colorDetect;0.012912;12.912000;udp;0.00011;0.11;0.044468;;;;
Image ret;0.001241;1.241;stereoCalib;0.057811;57.811000;colorDetect;0.026414;26.414000;udp;0.000154;0.154;0.08562;;;;
Image ret;0.001178;1.178;stereoCalib;0.056596;56.596000;colorDetect;0.01574;15.740000;udp;8.6e-05;0.086;0.0736;;;;
Image ret;0.000824;0.824;stereoCalib;0.030877;30.877000;colorDetect;0.01253;12.530000;udp;0.000112;0.112;0.044343;;;;
Image ret;0.000825;0.825;stereoCalib;0.032436;32.436000;colorDetect;0.012458;12.458000;udp;0.00012;0.12;0.045839;;;;
Image ret;0.001218;1.218;stereoCalib;0.034918;34.918000;colorDetect;0.012536;12.536000;udp;0.000106;0.106;0.048778;;;;
Image ret;0.000983;0.983;stereoCalib;0.029329;29.329000;colorDetect;0.013346;13.346000;udp;0.000119;0.119;0.043777;;;;
Image ret;0.000837;0.837;stereoCalib;0.028041;28.041000;colorDetect;0.012558;12.558000;udp;0.00011;0.11;0.041546;;;;
Image ret;0.000828;0.828;stereoCalib;0.028718;28.718000;colorDetect;0.013013;13.013000;udp;0.000253;0.253;0.042812;;;;
Image ret;0.000863;0.863;stereoCalib;0.029367;29.367000;colorDetect;0.013252;13.252000;udp;0.000156;0.156;0.043638;;;;
Image ret;0.001003;1.003;stereoCalib;0.030964;30.964000;colorDetect;0.015136;15.136000;udp;8.9e-05;0.089;0.047192;;;;
Image ret;0.000808;0.808;stereoCalib;0.029555;29.555000;colorDetect;0.012378;12.378000;udp;0.000107;0.107;0.042848;;;;
Image ret;0.0008;0.8;stereoCalib;0.030084;30.084000;colorDetect;0.013295;13.295000;udp;0.000119;0.119;0.044298;;;;
Image ret;0.000831;0.831;stereoCalib;0.029953;29.953000;colorDetect;0.014004;14.004000;udp;9.2e-05;0.092;0.04488;;;;
Image ret;0.000859;0.859;stereoCalib;0.029706;29.706000;colorDetect;0.013261;13.261000;udp;0.000715;0.715;0.044541;;;;
Image ret;0.000954;0.954;stereoCalib;0.030808;30.808000;colorDetect;0.012534;12.534000;udp;0.000711;0.711;0.045007;;;;
Image ret;0.000806;0.806;stereoCalib;0.030894;30.894000;colorDetect;0.012953;12.953000;udp;9.7e-05;0.097;0.04475;;;;
Image ret;0.000791;0.791;stereoCalib;0.033105;33.105000;colorDetect;0.012378;12.378000;udp;0.000106;0.106;0.04638;;;;
Image ret;0.000796;0.796;stereoCalib;0.033938;33.938000;colorDetect;0.012438;12.438000;udp;0.000101;0.101;0.047273;;;;
Image ret;0.000905;0.905;stereoCalib;0.026684;26.684000;colorDetect;0.013476;13.476000;udp;9.3e-05;0.093;0.041158;;;;
Image ret;0.001071;1.071;stereoCalib;0.047368;47.368000;colorDetect;0.026366;26.366000;udp;0.000151;0.151;0.074956;;;;
Image ret;0.00116;1.16;stereoCalib;0.05476;54.760000;colorDetect;0.020967;20.967000;udp;9.7e-05;0.097;0.076984;;;;
Image ret;0.000837;0.837;stereoCalib;0.030785;30.785000;colorDetect;0.012408;12.408000;udp;0.000116;0.116;0.044146;;;;
Image ret;0.000826;0.826;stereoCalib;0.029636;29.636000;colorDetect;0.012626;12.626000;udp;0.000114;0.114;0.043202;;;;
Image ret;0.000957;0.957;stereoCalib;0.033688;33.688000;colorDetect;0.012413;12.413000;udp;0.000103;0.103;0.047161;;;;
Image ret;0.000836;0.836;stereoCalib;0.029462;29.462000;colorDetect;0.013445;13.445000;udp;0.00016;0.16;0.043903;;;;
Image ret;0.000814;0.814;stereoCalib;0.026092;26.092000;colorDetect;0.013579;13.579000;udp;9.2e-05;0.092;0.040577;;;;
Image ret;0.000845;0.845;stereoCalib;0.028394;28.394000;colorDetect;0.012406;12.406000;udp;0.000107;0.107;0.041752;;;;
Image ret;0.000944;0.944;stereoCalib;0.030797;30.797000;colorDetect;0.013524;13.524000;udp;0.000231;0.231;0.045496;;;;
Image ret;0.000855;0.855;stereoCalib;0.02838;28.380000;colorDetect;0.013931;13.931000;udp;9e-05;0.09;0.043256;;;;
Image ret;0.000801;0.801;stereoCalib;0.026207;26.207000;colorDetect;0.013388;13.388000;udp;9e-05;0.09;0.040486;;;;
Image ret;0.000868;0.868;stereoCalib;0.02939;29.390000;colorDetect;0.012455;12.455000;udp;9.6e-05;0.096;0.042809;;;;
Image ret;0.001256;1.256;stereoCalib;0.03046;30.460000;colorDetect;0.014115;14.115000;udp;0.000217;0.217;0.046048;;;;
Image ret;0.000918;0.918;stereoCalib;0.028115;28.115000;colorDetect;0.013341;13.341000;udp;0.000111;0.111;0.042485;;;;
Image ret;0.000803;0.803;stereoCalib;0.028071;28.071000;colorDetect;0.013432;13.432000;udp;9.4e-05;0.094;0.0424;;;;
Image ret;0.000803;0.803;stereoCalib;0.029898;29.898000;colorDetect;0.012466;12.466000;udp;0.000119;0.119;0.043286;;;;
Image ret;0.000928;0.928;stereoCalib;0.029994;29.994000;colorDetect;0.013589;13.589000;udp;9.9e-05;0.099;0.04461;;;;
Image ret;0.000973;0.973;stereoCalib;0.028437;28.437000;colorDetect;0.02795;27.950000;udp;0.000145;0.145;0.057505;;;;
Image ret;0.001159;1.159;stereoCalib;0.053583;53.583000;colorDetect;0.026348;26.348000;udp;0.000174;0.174;0.081264;;;;
Image ret;0.000879;0.879;stereoCalib;0.031177;31.177000;colorDetect;0.01234;12.340000;udp;9.4e-05;0.094;0.04449;;;;
Image ret;0.000832;0.832;stereoCalib;0.029852;29.852000;colorDetect;0.013295;13.295000;udp;0.000104;0.104;0.044083;;;;
Image ret;0.000937;0.937;stereoCalib;0.032064;32.064000;colorDetect;0.012421;12.421000;udp;9.2e-05;0.092;0.045514;;;;
Image ret;0.000809;0.809;stereoCalib;0.03169;31.690000;colorDetect;0.013403;13.403000;udp;0.000121;0.121;0.046023;;;;
Image ret;0.00092;0.92;stereoCalib;0.034029;34.029000;colorDetect;0.012474;12.474000;udp;0.000108;0.108;0.047531;;;;
Image ret;0.00094;0.94;stereoCalib;0.028223;28.223000;colorDetect;0.013563;13.563000;udp;9.2e-05;0.092;0.042818;;;;
Image ret;0.000814;0.814;stereoCalib;0.029423;29.423000;colorDetect;0.012534;12.534000;udp;0.000112;0.112;0.042883;;;;
Image ret;0.000931;0.931;stereoCalib;0.030203;30.203000;colorDetect;0.012412;12.412000;udp;0.000119;0.119;0.043665;;;;
Image ret;0.000846;0.846;stereoCalib;0.029118;29.118000;colorDetect;0.012605;12.605000;udp;0.000136;0.136;0.042705;;;;
Image ret;0.000875;0.875;stereoCalib;0.029489;29.489000;colorDetect;0.01408;14.080000;udp;8.9e-05;0.089;0.044533;;;;
Image ret;0.000806;0.806;stereoCalib;0.028145;28.145000;colorDetect;0.012537;12.537000;udp;0.000108;0.108;0.041596;;;;
Image ret;0.000806;0.806;stereoCalib;0.029717;29.717000;colorDetect;0.013499;13.499000;udp;0.0001;0.1;0.044122;;;;
Image ret;0.000935;0.935;stereoCalib;0.027681;27.681000;colorDetect;0.014448;14.448000;udp;0.000103;0.103;0.043167;;;;
Image ret;0.000866;0.866;stereoCalib;0.029839;29.839000;colorDetect;0.014537;14.537000;udp;8.6e-05;0.086;0.045328;;;;
Image ret;0.000796;0.796;stereoCalib;0.028824;28.824000;colorDetect;0.013773;13.773000;udp;0.0001;0.1;0.043493;;;;
Image ret;0.000796;0.796;stereoCalib;0.02846;28.460000;colorDetect;0.014008;14.008000;udp;9.2e-05;0.092;0.043356;;;;
Image ret;0.00079;0.79;stereoCalib;0.030057;30.057000;colorDetect;0.012413;12.413000;udp;0.00011;0.11;0.04337;;;;
Image ret;0.000829;0.829;stereoCalib;0.030353;30.353000;colorDetect;0.012376;12.376000;udp;9.9e-05;0.099;0.043657;;;;
Image ret;0.001138;1.138;stereoCalib;0.03216;32.160000;colorDetect;0.015733;15.733000;udp;0.00016;0.16;0.049191;;;;
Image ret;0.001119;1.119;stereoCalib;0.053828;53.828000;colorDetect;0.028522;28.522000;udp;0.000146;0.146;0.083615;;;;
Image ret;0.001265;1.265;stereoCalib;0.046745;46.745000;colorDetect;0.012395;12.395000;udp;0.000104;0.104;0.060509;;;;
Image ret;0.000921;0.921;stereoCalib;0.031803;31.803000;colorDetect;0.012745;12.745000;udp;0.000101;0.101;0.04557;;;;
Image ret;0.000958;0.958;stereoCalib;0.032224;32.224000;colorDetect;0.012433;12.433000;udp;9.7e-05;0.097;0.045712;;;;
Image ret;0.000804;0.804;stereoCalib;0.029749;29.749000;colorDetect;0.01244;12.440000;udp;0.000109;0.109;0.043102;;;;
Image ret;0.000991;0.991;stereoCalib;0.031806;31.806000;colorDetect;0.012482;12.482000;udp;0.000129;0.129;0.045408;;;;
Image ret;0.000981;0.981;stereoCalib;0.027928;27.928000;colorDetect;0.012926;12.926000;udp;0.000115;0.115;0.04195;;;;
Image ret;0.000955;0.955;stereoCalib;0.028898;28.898000;colorDetect;0.012982;12.982000;udp;0.00072;0.72;0.043555;;;;
Image ret;0.000841;0.841;stereoCalib;0.027738;27.738000;colorDetect;0.014334;14.334000;udp;0.00019;0.19;0.043103;;;;
Image ret;0.000919;0.919;stereoCalib;0.027891;27.891000;colorDetect;0.014665;14.665000;udp;9.1e-05;0.091;0.043566;;;;
Image ret;0.000794;0.794;stereoCalib;0.028221;28.221000;colorDetect;0.012401;12.401000;udp;0.000119;0.119;0.041535;;;;
Image ret;0.00093;0.93;stereoCalib;0.030265;30.265000;colorDetect;0.013638;13.638000;udp;9.3e-05;0.093;0.044926;;;;
Image ret;0.00083;0.83;stereoCalib;0.02946;29.460000;colorDetect;0.012627;12.627000;udp;0.000115;0.115;0.043032;;;;
Image ret;0.001032;1.032;stereoCalib;0.028841;28.841000;colorDetect;0.013664;13.664000;udp;0.000104;0.104;0.043641;;;;
Image ret;0.000796;0.796;stereoCalib;0.027934;27.934000;colorDetect;0.014228;14.228000;udp;9.3e-05;0.093;0.043051;;;;
Image ret;0.000795;0.795;stereoCalib;0.028239;28.239000;colorDetect;0.012391;12.391000;udp;0.000107;0.107;0.041532;;;;
Image ret;0.000797;0.797;stereoCalib;0.02926;29.260000;colorDetect;0.012507;12.507000;udp;0.00011;0.11;0.042674;;;;
Image ret;0.000812;0.812;stereoCalib;0.029619;29.619000;colorDetect;0.012457;12.457000;udp;0.000137;0.137;0.043025;;;;
Image ret;0.000949;0.949;stereoCalib;0.026434;26.434000;colorDetect;0.014666;14.666000;udp;9.7e-05;0.097;0.042146;;;;
Image ret;0.0008;0.8;stereoCalib;0.027518;27.518000;colorDetect;0.012633;12.633000;udp;9.3e-05;0.093;0.041044;;;;
Image ret;0.000812;0.812;stereoCalib;0.028892;28.892000;colorDetect;0.01483;14.830000;udp;8.8e-05;0.088;0.044622;;;;
Image ret;0.000834;0.834;stereoCalib;0.027926;27.926000;colorDetect;0.01232;12.320000;udp;0.000102;0.102;0.041182;;;;
Image ret;0.000941;0.941;stereoCalib;0.030378;30.378000;colorDetect;0.01377;13.770000;udp;9.3e-05;0.093;0.045182;;;;
Image ret;0.000796;0.796;stereoCalib;0.02951;29.510000;colorDetect;0.012508;12.508000;udp;0.000117;0.117;0.042931;;;;
Image ret;0.000784;0.784;stereoCalib;0.029797;29.797000;colorDetect;0.013235;13.235000;udp;0.000111;0.111;0.043927;;;;
Image ret;0.000805;0.805;stereoCalib;0.02808;28.080000;colorDetect;0.014198;14.198000;udp;9.5e-05;0.095;0.043178;;;;
Image ret;0.000905;0.905;stereoCalib;0.028186;28.186000;colorDetect;0.013352;13.352000;udp;0.000171;0.171;0.042614;;;;
Image ret;0.000934;0.934;stereoCalib;0.030328;30.328000;colorDetect;0.013536;13.536000;udp;8.8e-05;0.088;0.044886;;;;
Image ret;0.000798;0.798;stereoCalib;0.029763;29.763000;colorDetect;0.012468;12.468000;udp;0.00011;0.11;0.043139;;;;
Image ret;0.000824;0.824;stereoCalib;0.030185;30.185000;colorDetect;0.01329;13.290000;udp;0.000133;0.133;0.044432;;;;
Image ret;0.000875;0.875;stereoCalib;0.029022;29.022000;colorDetect;0.014607;14.607000;udp;9.2e-05;0.092;0.044596;;;;
Image ret;0.000818;0.818;stereoCalib;0.028643;28.643000;colorDetect;0.013132;13.132000;udp;9.3e-05;0.093;0.042686;;;;
Image ret;0.000942;0.942;stereoCalib;0.028858;28.858000;colorDetect;0.013472;13.472000;udp;9.7e-05;0.097;0.043369;;;;
Image ret;0.00079;0.79;stereoCalib;0.03025;30.250000;colorDetect;0.013367;13.367000;udp;0.000121;0.121;0.044528;;;;
Image ret;0.000832;0.832;stereoCalib;0.02951;29.510000;colorDetect;0.012412;12.412000;udp;9.8e-05;0.098;0.042852;;;;
Image ret;0.001074;1.074;stereoCalib;0.03363;33.630000;colorDetect;0.012703;12.703000;udp;0.0001;0.1;0.047507;;;;
Image ret;0.000943;0.943;stereoCalib;0.04308;43.080000;colorDetect;0.026903;26.903000;udp;0.000148;0.148;0.071074;;;;
Image ret;0.001453;1.453;stereoCalib;0.05419;54.190000;colorDetect;0.023243;23.243000;udp;9.1e-05;0.091;0.078977;;;;
Image ret;0.000851;0.851;stereoCalib;0.030122;30.122000;colorDetect;0.012681;12.681000;udp;9.1e-05;0.091;0.043745;;;;
Image ret;0.000801;0.801;stereoCalib;0.028179;28.179000;colorDetect;0.013326;13.326000;udp;0.000217;0.217;0.042523;;;;
Image ret;0.000826;0.826;stereoCalib;0.031328;31.328000;colorDetect;0.012669;12.669000;udp;0.00012;0.12;0.044943;;;;
Image ret;0.000823;0.823;stereoCalib;0.03072;30.720000;colorDetect;0.01264;12.640000;udp;0.000322;0.322;0.044505;;;;
Image ret;0.000914;0.914;stereoCalib;0.034278;34.278000;colorDetect;0.012457;12.457000;udp;0.000105;0.105;0.047754;;;;
Image ret;0.001034;1.034;stereoCalib;0.03352;33.520000;colorDetect;0.012508;12.508000;udp;0.000109;0.109;0.047171;;;;
Image ret;0.000932;0.932;stereoCalib;0.031027;31.027000;colorDetect;0.012478;12.478000;udp;9.1e-05;0.091;0.044528;;;;
Image ret;0.000797;0.797;stereoCalib;0.028247;28.247000;colorDetect;0.013126;13.126000;udp;9.1e-05;0.091;0.042261;;;;
Image ret;0.000796;0.796;stereoCalib;0.029702;29.702000;colorDetect;0.013439;13.439000;udp;0.000188;0.188;0.044125;;;;
Image ret;0.000894;0.894;stereoCalib;0.029519;29.519000;colorDetect;0.014159;14.159000;udp;0.000105;0.105;0.044677;;;;
Image ret;0.000962;0.962;stereoCalib;0.030993;30.993000;colorDetect;0.013822;13.822000;udp;8.8e-05;0.088;0.045865;;;;
Image ret;0.000783;0.783;stereoCalib;0.029407;29.407000;colorDetect;0.012583;12.583000;udp;0.000121;0.121;0.042894;;;;
Image ret;0.000794;0.794;stereoCalib;0.029008;29.008000;colorDetect;0.013272;13.272000;udp;9.6e-05;0.096;0.04317;;;;
Image ret;0.000797;0.797;stereoCalib;0.029631;29.631000;colorDetect;0.01445;14.450000;udp;0.000102;0.102;0.04498;;;;
Image ret;0.000839;0.839;stereoCalib;0.028254;28.254000;colorDetect;0.013304;13.304000;udp;0.0001;0.1;0.042497;;;;
Image ret;0.000931;0.931;stereoCalib;0.03039;30.390000;colorDetect;0.013917;13.917000;udp;9e-05;0.09;0.045328;;;;
Image ret;0.000827;0.827;stereoCalib;0.028202;28.202000;colorDetect;0.012593;12.593000;udp;0.000118;0.118;0.04174;;;;
Image ret;0.000787;0.787;stereoCalib;0.028544;28.544000;colorDetect;0.013732;13.732000;udp;0.000106;0.106;0.043169;;;;
Image ret;0.000852;0.852;stereoCalib;0.028301;28.301000;colorDetect;0.015383;15.383000;udp;0.000142;0.142;0.044678;;;;
Image ret;0.001122;1.122;stereoCalib;0.055763;55.763000;colorDetect;0.026953;26.953000;udp;0.000164;0.164;0.084002;;;;
Image ret;0.001301;1.301;stereoCalib;0.052496;52.496000;colorDetect;0.013756;13.756000;udp;9.6e-05;0.096;0.067649;;;;
Image ret;0.000887;0.887;stereoCalib;0.028375;28.375000;colorDetect;0.012411;12.411000;udp;9.9e-05;0.099;0.041772;;;;
Image ret;0.000805;0.805;stereoCalib;0.028942;28.942000;colorDetect;0.013752;13.752000;udp;9.5e-05;0.095;0.043594;;;;
Image ret;0.000827;0.827;stereoCalib;0.029652;29.652000;colorDetect;0.013819;13.819000;udp;0.000174;0.174;0.044472;;;;
Image ret;0.000947;0.947;stereoCalib;0.030193;30.193000;colorDetect;0.014693;14.693000;udp;9e-05;0.09;0.045923;;;;
Image ret;0.000806;0.806;stereoCalib;0.029684;29.684000;colorDetect;0.014331;14.331000;udp;9.9e-05;0.099;0.04492;;;;
Image ret;0.000911;0.911;stereoCalib;0.028616;28.616000;colorDetect;0.013323;13.323000;udp;0.000105;0.105;0.042955;;;;
Image ret;0.000798;0.798;stereoCalib;0.03192;31.920000;colorDetect;0.013481;13.481000;udp;0.00012;0.12;0.046319;;;;
Image ret;0.000809;0.809;stereoCalib;0.029719;29.719000;colorDetect;0.012431;12.431000;udp;0.000105;0.105;0.043064;;;;
Image ret;0.001033;1.033;stereoCalib;0.02991;29.910000;colorDetect;0.01232;12.320000;udp;0.000136;0.136;0.043399;;;;
Image ret;0.00086;0.86;stereoCalib;0.029976;29.976000;colorDetect;0.013245;13.245000;udp;0.000108;0.108;0.044189;;;;
Image ret;0.000857;0.857;stereoCalib;0.029847;29.847000;colorDetect;0.014331;14.331000;udp;0.00011;0.11;0.045145;;;;
Image ret;0.000808;0.808;stereoCalib;0.028138;28.138000;colorDetect;0.014255;14.255000;udp;8.9e-05;0.089;0.04329;;;;
Image ret;0.000843;0.843;stereoCalib;0.029602;29.602000;colorDetect;0.014039;14.039000;udp;0.00012;0.12;0.044604;;;;
Image ret;0.000812;0.812;stereoCalib;0.029312;29.312000;colorDetect;0.013864;13.864000;udp;0.000106;0.106;0.044094;;;;
Image ret;0.001016;1.016;stereoCalib;0.031063;31.063000;colorDetect;0.013548;13.548000;udp;8.9e-05;0.089;0.045716;;;;
Image ret;0.000828;0.828;stereoCalib;0.029682;29.682000;colorDetect;0.012404;12.404000;udp;0.000109;0.109;0.043023;;;;
Image ret;0.000871;0.871;stereoCalib;0.029847;29.847000;colorDetect;0.013685;13.685000;udp;0.000123;0.123;0.044526;;;;
Image ret;0.000794;0.794;stereoCalib;0.028584;28.584000;colorDetect;0.014186;14.186000;udp;0.000123;0.123;0.043687;;;;
Image ret;0.001106;1.106;stereoCalib;0.054916;54.916000;colorDetect;0.026413;26.413000;udp;0.000153;0.153;0.082588;;;;
