;Column1.1;Column1.2;Column1.2.1;Column1.2.2;Column1.2.3;Column1.3.1;Column1.3.2;Column1.3.3;Column1.4.1;Column1.4.2;Column1.4.22;Column1.4.3;;;;
Image ret;0.000841;0.841;stereoCalib;0.02985;29.850000;colorDetect;0.012524;12.524000;udp;0.000116;0.116;0.043331;;;;
Image ret;0.000823;0.823;stereoCalib;0.028184;28.184000;colorDetect;0.012506;12.506000;udp;0.000111;0.111;0.041624;;;;
Image ret;0.000894;0.894;stereoCalib;0.02663;26.630000;colorDetect;0.014183;14.183000;udp;9.2e-05;0.092;0.041799;;;;
Image ret;0.000806;0.806;stereoCalib;0.02983;29.830000;colorDetect;0.012625;12.625000;udp;0.000108;0.108;0.043369;;;;
Image ret;0.001334;1.334;stereoCalib;0.055617;55.617000;colorDetect;0.026387;26.387000;udp;0.000148;0.148;0.083486;;;;
Image ret;0.001337;1.337;stereoCalib;0.054808;54.808000;colorDetect;0.013747;13.747000;udp;0.0001;0.1;0.069992;;;;
Image ret;0.000876;0.876;stereoCalib;0.029183;29.183000;colorDetect;0.012409;12.409000;udp;0.000101;0.101;0.042569;;;;
Image ret;0.001122;1.122;stereoCalib;0.029547;29.547000;colorDetect;0.013377;13.377000;udp;9.2e-05;0.092;0.044138;;;;
Image ret;0.000976;0.976;stereoCalib;0.028172;28.172000;colorDetect;0.013607;13.607000;udp;9e-05;0.09;0.042845;;;;
Image ret;0.000785;0.785;stereoCalib;0.029256;29.256000;colorDetect;0.013732;13.732000;udp;0.000105;0.105;0.043878;;;;
Image ret;0.000802;0.802;stereoCalib;0.028167;28.167000;colorDetect;0.013469;13.469000;udp;0.000116;0.116;0.042554;;;;
Image ret;0.000852;0.852;stereoCalib;0.03125;31.250000;colorDetect;0.012988;12.988000;udp;0.000101;0.101;0.045191;;;;
Image ret;0.000858;0.858;stereoCalib;0.031112;31.112000;colorDetect;0.013499;13.499000;udp;0.000204;0.204;0.045673;;;;
Image ret;0.000959;0.959;stereoCalib;0.028274;28.274000;colorDetect;0.012412;12.412000;udp;0.000116;0.116;0.041761;;;;
Image ret;0.000799;0.799;stereoCalib;0.029794;29.794000;colorDetect;0.013629;13.629000;udp;0.000147;0.147;0.044369;;;;
Image ret;0.000791;0.791;stereoCalib;0.029678;29.678000;colorDetect;0.014085;14.085000;udp;0.000107;0.107;0.044661;;;;
Image ret;0.000869;0.869;stereoCalib;0.027992;27.992000;colorDetect;0.01393;13.930000;udp;9.6e-05;0.096;0.042887;;;;
Image ret;0.000801;0.801;stereoCalib;0.027503;27.503000;colorDetect;0.013684;13.684000;udp;0.00012;0.12;0.042108;;;;
Image ret;0.000793;0.793;stereoCalib;0.029194;29.194000;colorDetect;0.013456;13.456000;udp;9.8e-05;0.098;0.043541;;;;
Image ret;0.000965;0.965;stereoCalib;0.032008;32.008000;colorDetect;0.012569;12.569000;udp;0.0001;0.1;0.045642;;;;
Image ret;0.000797;0.797;stereoCalib;0.030868;30.868000;colorDetect;0.012617;12.617000;udp;9.8e-05;0.098;0.04438;;;;
Image ret;0.001112;1.112;stereoCalib;0.030397;30.397000;colorDetect;0.013491;13.491000;udp;8.7e-05;0.087;0.045087;;;;
Image ret;0.000844;0.844;stereoCalib;0.027775;27.775000;colorDetect;0.012578;12.578000;udp;9.6e-05;0.096;0.041293;;;;
